bundle_id,replicate,policy,review_duration,case_id,agent_id,family,task_completed,wrong_transaction_committed,service_failure_loss,wrong_transaction_loss,initial_error,staged,reviewed,automatic_rejections,operational_loss
evaluation_01,2,greedy,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,2,greedy,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,2,search,2,train:063,0,modify,True,False,0,0,True,True,True,3,0
evaluation_01,2,search,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,2,search,2,train:090,2,cancel,True,False,0,0,False,True,True,1,0
evaluation_01,2,no_review,2,train:063,0,modify,False,True,4,4,True,True,False,3,8
evaluation_01,2,no_review,2,train:025,1,return_exchange,True,False,0,0,False,True,False,1,0
evaluation_01,2,no_review,2,train:090,2,cancel,True,False,0,0,False,True,False,1,0
evaluation_02,0,edf,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,0,edf,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,0,edf,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,0,uncertainty,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,0,uncertainty,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,0,uncertainty,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,0,greedy,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,0,greedy,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,0,greedy,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,0,search,2,train:105,0,cancel,True,False,0,0,False,True,True,1,0
evaluation_02,0,search,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,0,search,2,train:032,2,return_exchange,True,False,0,0,False,True,True,2,0
evaluation_02,0,no_review,2,train:105,0,cancel,True,False,0,0,False,True,False,1,0
evaluation_02,0,no_review,2,train:073,1,modify,False,False,4,0,False,False,False,9,4
evaluation_02,0,no_review,2,train:032,2,return_exchange,True,False,0,0,False,True,False,2,0
